Date,Open,High,Low,Close,Volume,Name
2017-10-13,52.67,52.8611,52.2588,52.7,2960327,AAL
2017-10-16,52.52,52.68,51.93,52.27,3262297,AAL
2017-10-17,52.72,52.82,51.87,52.07,3651202,AAL
2017-10-18,52.11,52.4373,51.86,52.03,2542361,AAL
2017-10-19,51.57,51.83,49.6332,51.51,7568214,AAL
2017-10-20,51.56,52.24,51.53,51.93,3643376,AAL
2017-10-23,51.92,51.9499,50.87,50.98,3456500,AAL
2017-10-24,51.02,52.1,50.5501,51.95,3654904,AAL
2017-10-25,51.78,51.78,50.61,51.02,4658297,AAL
2017-10-26,52.0,53.19,48.32,48.61,12079047,AAL
2017-10-27,48.41,48.89,47.33,47.56,8591454,AAL
2017-10-30,47.65,47.67,46.83,47.25,5402530,AAL
2017-10-31,47.22,47.6,46.79,46.82,4596604,AAL
2017-11-01,48.0,48.2,47.37,47.84,4354521,AAL
2017-11-02,47.79,47.9291,47.09,47.36,2410660,AAL
2017-11-03,47.36,47.61,46.8,47.45,4037183,AAL
2017-11-06,47.46,48.1,47.28,47.51,4249493,AAL
2017-11-07,47.51,47.54,46.4,46.46,3756424,AAL
2017-11-08,46.42,46.98,45.84,46.37,3198779,AAL
2017-11-09,45.85,46.35,45.36,45.77,3559185,AAL
2017-11-10,45.64,46.12,45.56,45.82,2433022,AAL
2017-11-13,45.63,45.86,45.33,45.74,1772439,AAL
2017-11-14,45.3,45.97,45.27,45.81,1827200,AAL
2017-11-15,45.71,47.31,45.45,47.19,5223111,AAL
2017-11-16,47.26,48.06,47.24,47.68,4462040,AAL
2017-11-17,47.6,47.75,47.1883,47.39,2324811,AAL
2017-11-20,47.33,47.88,47.12,47.69,2436018,AAL
2017-11-21,47.89,48.92,47.54,48.65,2796204,AAL
2017-11-22,48.58,48.97,48.27,48.66,2326894,AAL
2017-11-24,48.66,48.76,48.35,48.56,1352400,AAL
2017-11-27,48.61,48.8336,48.3,48.42,2630803,AAL
2017-11-28,48.44,49.42,48.2,49.22,3864117,AAL
2017-11-29,49.38,51.16,48.66,49.25,8154242,AAL
2017-11-30,49.76,51.1116,49.3,50.49,6016175,AAL
2017-12-01,49.67,50.38,48.69,49.0,6229631,AAL
2017-12-04,50.1,51.47,49.65,49.93,7113822,AAL
2017-12-05,49.85,50.0,49.2099,49.47,3594043,AAL
2017-12-06,49.39,49.81,49.19,49.61,2835542,AAL
2017-12-07,49.53,50.9205,49.3,50.88,3046954,AAL
2017-12-08,51.23,51.79,50.93,51.02,3817896,AAL
2017-12-11,50.78,51.59,50.76,51.3,2835633,AAL
2017-12-12,51.27,51.53,50.38,50.47,2798179,AAL
2017-12-13,50.58,50.75,49.85,50.09,3035241,AAL
2017-12-14,50.59,51.36,50.1,50.21,4503105,AAL
2017-12-15,50.67,51.5,50.4,51.06,9074165,AAL
2017-12-18,51.25,51.66,51.25,51.49,3236066,AAL
2017-12-19,51.6,51.81,51.28,51.44,3019807,AAL
2017-12-20,51.57,52.1,51.17,51.92,5172839,AAL
2017-12-21,52.16,53.47,52.07,52.79,7125891,AAL
2017-12-22,52.72,52.88,52.42,52.59,2425104,AAL
2017-12-26,52.35,53.22,52.33,52.85,2774316,AAL
2017-12-27,52.8,52.88,52.06,52.4,2831434,AAL
2017-12-28,52.45,52.63,52.22,52.46,1845331,AAL
2017-12-29,52.42,52.82,52.01,52.03,2697096,AAL
2018-01-02,52.33,53.1,51.9,52.99,4084712,AAL
2018-01-03,52.86,52.86,52.05,52.34,5074850,AAL
2018-01-04,52.48,54.4,52.26,52.67,3557059,AAL
2018-01-05,52.78,52.8388,52.43,52.65,2967756,AAL
2018-01-08,52.6,52.64,51.93,52.13,3515785,AAL
2018-01-09,52.97,53.37,52.01,52.08,3426021,AAL
2018-01-10,53.23,54.02,52.88,53.78,7655771,AAL
2018-01-11,54.49,57.0,54.18,56.42,11339858,AAL
2018-01-12,56.56,58.73,56.56,58.47,7505761,AAL
2018-01-16,58.79,59.08,57.53,57.98,5283872,AAL
2018-01-17,58.31,58.58,57.8,58.16,3148934,AAL
2018-01-18,58.0,58.71,57.56,58.34,3969309,AAL
2018-01-19,58.59,58.59,57.76,58.06,3151201,AAL
2018-01-22,57.99,58.34,57.5305,58.1,3553916,AAL
2018-01-23,57.74,58.46,57.4,58.29,3336991,AAL
2018-01-24,54.35,55.46,53.45,54.79,16348479,AAL
2018-01-25,54.0,54.55,52.21,53.05,10223096,AAL
2018-01-26,53.65,53.9,52.34,53.07,7066094,AAL
2018-01-29,52.79,53.16,52.26,52.68,5953675,AAL
2018-01-30,52.45,53.05,52.36,52.59,4741808,AAL
2018-01-31,53.08,54.71,53.0,54.32,5962937,AAL
2018-02-01,54.0,54.64,53.59,53.88,3623078,AAL
2018-02-02,53.49,53.99,52.03,52.1,5109361,AAL
2018-02-05,51.99,52.39,49.75,49.76,6878284,AAL
2018-02-06,49.32,51.5,48.79,51.18,6782480,AAL
2018-02-07,50.91,51.98,50.89,51.4,4845831,AAL
