Date,Open,High,Low,Close,Volume,Name
2017-02-01,41.81,42.12,41.48,41.92,880446,PDCO
2017-02-02,41.73,42.03,41.57,41.85,614347,PDCO
2017-02-03,42.1,42.3,41.58,42.13,1171677,PDCO
2017-02-06,42.22,42.27,41.9465,42.11,869915,PDCO
2017-02-07,42.1,42.49,41.97,42.11,802800,PDCO
2017-02-08,42.0,42.27,41.93,42.17,606195,PDCO
2017-02-09,42.26,42.9094,42.15,42.72,683109,PDCO
2017-02-10,42.69,43.07,42.6,42.83,571715,PDCO
2017-02-13,43.0,43.19,42.8,43.15,443865,PDCO
2017-02-14,43.08,43.6,42.94,43.49,912506,PDCO
2017-02-15,43.25,43.57,42.67,43.5,1358375,PDCO
2017-02-16,43.5,43.86,43.4,43.79,803720,PDCO
2017-02-17,43.76,44.18,43.54,44.08,1516024,PDCO
2017-02-21,44.07,44.93,44.0,44.81,1421570,PDCO
2017-02-22,44.77,45.22,44.47,44.6,1604581,PDCO
2017-02-23,44.73,45.25,43.16,44.6,2751885,PDCO
2017-02-24,44.49,45.24,44.28,45.22,889288,PDCO
2017-02-27,45.25,45.68,45.14,45.32,831712,PDCO
2017-02-28,45.18,45.64,45.18,45.45,1274435,PDCO
2017-03-01,45.63,46.02,45.4,45.89,919920,PDCO
2017-03-02,45.7,45.85,45.45,45.67,890931,PDCO
2017-03-03,45.48,45.54,44.84,45.0,1555827,PDCO
2017-03-06,44.85,44.85,43.72,43.82,2161929,PDCO
2017-03-07,43.83,44.22,43.59,44.15,939566,PDCO
2017-03-08,44.26,44.96,44.13,44.37,958854,PDCO
2017-03-09,44.48,44.59,44.19,44.41,768318,PDCO
2017-03-10,44.59,44.97,44.3698,44.57,556993,PDCO
2017-03-13,44.63,45.34,44.49,45.25,959964,PDCO
2017-03-14,45.16,45.31,44.6029,45.18,624322,PDCO
2017-03-15,45.24,46.12,45.24,45.8,888429,PDCO
2017-03-16,45.92,46.05,45.43,45.54,702310,PDCO
2017-03-17,45.54,45.76,45.38,45.48,1129897,PDCO
2017-03-20,45.51,45.74,45.31,45.54,486278,PDCO
2017-03-21,45.66,45.92,44.63,44.79,755459,PDCO
2017-03-22,44.86,44.86,43.92,44.33,1565963,PDCO
2017-03-23,44.29,44.66,44.13,44.21,717844,PDCO
2017-03-24,44.27,44.75,44.27,44.48,527024,PDCO
2017-03-27,44.29,44.74,44.29,44.7,696730,PDCO
2017-03-28,44.7,45.17,44.58,45.02,650627,PDCO
2017-03-29,44.9,45.1,44.78,45.08,597873,PDCO
2017-03-30,45.07,45.43,45.07,45.27,420188,PDCO
2017-03-31,45.07,45.57,45.07,45.23,694732,PDCO
2017-04-03,45.25,45.72,45.0,45.16,791678,PDCO
2017-04-04,45.09,45.1899,44.78,44.96,533525,PDCO
2017-04-05,44.96,45.16,44.18,44.22,1170552,PDCO
2017-04-06,44.3,44.73,44.1,44.68,824638,PDCO
2017-04-07,44.6,44.93,44.4,44.51,447196,PDCO
2017-04-10,44.37,44.67,44.2201,44.44,663594,PDCO
2017-04-11,44.27,44.51,44.13,44.3,782729,PDCO
2017-04-12,44.16,44.19,43.63,43.9,806472,PDCO
2017-04-13,43.83,43.83,43.5,43.55,543799,PDCO
2017-04-17,43.68,43.96,43.55,43.88,694877,PDCO
2017-04-18,43.62,43.72,43.10,43.7,409544,PDCO
2017-04-19,43.88,44.15,43.69,43.82,486113,PDCO
2017-04-20,43.87,44.4,43.63,44.27,559189,PDCO
2017-04-21,44.18,44.28,43.4,43.52,839472,PDCO
2017-04-24,43.77,43.89,43.51,43.75,687986,PDCO
2017-04-25,43.8,44.5,43.63,44.23,738046,PDCO
2017-04-26,44.4,44.9,44.26,44.58,396495,PDCO
2017-04-27,44.64,45.1,44.50,44.73,533761,PDCO
2017-04-28,45.02,45.02,44.38,44.49,829803,PDCO
2017-05-01,44.66,44.66,44.19,44.41,504861,PDCO
2017-05-02,44.44,44.56,44.1,44.55,529731,PDCO
2017-05-03,44.54,44.7,44.38,44.56,452864,PDCO
2017-05-04,44.68,45.36,44.58,45.25,554987,PDCO
2017-05-05,45.28,45.58,44.94,45.37,678117,PDCO
2017-05-08,45.25,45.37,44.54,44.59,720714,PDCO
2017-05-09,44.69,45.18,43.96,44.18,1261142,PDCO
2017-05-10,44.04,44.05,43.2,43.39,1711806,PDCO
2017-05-11,43.2,43.3995,42.88,43.31,1322038,PDCO
2017-05-12,43.13,43.54,42.99,43.44,559487,PDCO
2017-05-15,43.46,43.72,43.39,43.59,529833,PDCO
2017-05-16,43.38,43.47,42.82,43.26,1029286,PDCO
2017-05-17,42.98,43.37,42.7,42.83,859587,PDCO
2017-05-18,42.8,43.33,42.49,42.51,832892,PDCO
2017-05-19,42.58,43.02,42.2401,42.79,1401160,PDCO
